0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.26547447,0.6956088,-1.0974928,-0.8190147,1.3280206,-1.482785,-1.0829105,-2.3394465,-0.23035422,-2.5271325,0.28658083,-1.4690003,-1.2947316,3.262319,-0.57522666,-0.60915226,-0.0017274288,-0.51263064,-2.443448,-1.1335183,0.52315795,-4.166609,-1.7295854,-2.4717379,-2.4736693,-0.696809,0.52239865,-2.9579427,-0.36075684,-4.3957,-1.2298096,-2.927179,0.78596556,-2.7753563,-0.4208177,4.4640555,-1.6224236,-1.8459886,-1.8049418,-1.5183791,-1.8979483,-2.3557367,-2.3305545,0.42777342,-1.4250126,-2.737378,-0.14389311,-0.54324937,-2.720615,-0.16272953
2.5361705,-0.95375305,-0.2380562,0.5740804,0.3349816,-0.31443703,-1.3348383,-2.0633664,-0.86308753,-1.5273833,-0.8330225,0.13563399,0.47234502,3.5169108,-0.6138124,-0.6184672,-1.2325239,-1.3871715,-2.3187904,0.5856518,0.013481698,-5.052652,-2.0248537,-2.349605,-3.654852,-0.20650093,-0.9873851,-2.9869745,-0.031418264,-1.8667463,-2.2645738,-4.018914,3.8718655,-2.5835302,0.91395336,4.0412154,-2.4503777,-1.8081133,-2.0544863,-2.0237207,-1.908826,-1.2942061,-3.4702482,0.09307423,0.42167178,-1.4057513,1.9906067,0.16238913,-2.6323938,-0.7098985
-0.6472697,-2.8391826,-2.0029163,-0.04196053,-0.9048968,-0.88549113,-2.1582835,-2.7026653,-0.63192856,-1.9916148,-2.238777,-1.8552786,-1.210519,3.8826466,-0.8627436,-1.3194048,-0.1423726,-2.2839859,-0.35486588,-1.148979,-1.1018546,-3.7933567,-2.271499,-2.9379582,-3.3116684,-1.7464175,-0.33404097,-3.9174626,-0.95211226,-3.8730857,-0.69861007,-4.4718447,1.2511137,-4.119251,1.1949701,3.924599,-0.9105837,1.292409,-1.7332302,-3.2569184,-1.240243,-3.1934004,-1.7936612,-0.66578144,-1.6414745,-1.8306062,1.5616794,-0.10602767,-2.0941713,-1.418697
-0.6236057,-0.6121612,-1.7719582,-0.35456723,-0.74757934,-0.52161866,0.4360921,-2.8753676,-1.0895919,-1.0103172,-1.2428004,-0.5113305,-1.6320364,2.1404147,-0.3113024,-1.4742943,-0.91241974,-1.1021968,-0.73586744,-0.6056957,-0.5312739,-0.521652,-0.91676396,-1.2211363,-0.4746142,-1.6975235,-0.20683923,-0.92065924,-0.72577953,-3.5931385,-0.57976675,-1.5703677,-2.0335016,-2.2842832,-1.0390668,3.1270108,-0.58794385,-3.276544,-0.94516474,-1.6955142,-0.26234037,-3.1478872,0.4640077,-0.5063291,-1.4306266,-1.9651887,0.15454683,-0.35139728,0.06376564,-0.041914906
2.172849,-1.1883749,0.124714084,0.46061334,0.23925246,0.4007399,1.7265238,0.29341623,-0.6415761,2.0599706,0.17223765,1.2533492,0.264476,4.062838,0.10495672,0.74916375,0.6500365,-0.3345561,2.1186688,0.33064133,0.6751426,1.3208197,2.0496192,0.6099867,1.44187,1.163861,-0.4311439,0.54109204,-0.5197724,-1.3326794,1.5665288,-0.8007224,0.22296804,-0.4827907,-0.31199172,3.3394747,0.18727688,0.6229149,0.6849898,-1.0143697,0.3736596,-1.418233,0.77112925,0.115472175,0.41572973,0.4216804,1.3502554,-0.61316174,0.49373707,0.8032179
0.69575673,1.3062943,0.013980941,-0.13679986,1.672732,-0.035452947,1.2145678,-0.34952658,0.032801073,1.4879569,-0.26703098,1.3607128,2.2117577,5.0471735,0.57858664,-0.6051329,1.8797522,-0.84538573,1.4698132,0.2754061,1.7720568,2.080964,2.0423968,1.0857855,2.2657518,1.3910218,-0.07372237,-0.99609923,1.6383921,-0.5234562,1.0670943,0.76983595,1.3889832,0.5434244,1.5547591,4.8631086,0.60613555,3.0469894,1.0369475,-1.7358035,0.7274537,1.8151023,1.4546802,0.686761,1.769372,-0.8273208,0.573149,-0.5272047,0.8730387,1.159346
1.8670673,1.2264678,-0.02480505,0.9290881,0.877207,-0.21538208,1.3455083,-1.3370546,0.17294773,1.4255252,0.096304245,0.9900164,-2.3295166,4.3351836,0.68627775,0.6522282,1.5584757,0.63336504,1.7577261,0.028715612,1.0956908,1.6717317,2.6818576,0.44786948,2.2111826,1.1669748,-0.7770055,-0.7912923,-0.20010968,1.0216595,0.23847347,0.3763453,-0.4719055,0.92254233,-0.683556,4.2425094,-0.22834653,1.5538371,0.4443896,-1.2953197,1.629001,1.3220422,-0.36521888,-1.4850193,1.4576577,-0.7497902,-1.2429407,-0.30693114,-0.095098615,-0.49292135
0.0116736945,-1.1106079,-0.5259336,-0.2521816,0.6869822,-2.3921146,-0.5959968,-0.38208267,-0.84047455,0.79102004,0.28194803,0.60277945,0.6285817,2.4211168,-0.1080176,-0.417667,1.2153056,0.42159158,0.48274454,-1.2182168,-0.4951884,0.048368488,0.2620506,-0.9084229,1.2555611,0.17259963,-1.5222458,-1.4633031,-0.10186117,0.3866582,-1.547982,-0.5114536,-0.7785849,-0.61794126,0.24257448,4.545802,-1.1712321,1.0409088,-0.91055197,-2.247444,-0.6771282,0.8825349,-0.9388755,-1.4903976,0.43844622,-1.3549892,-3.3234408,-2.2658405,-2.0525784,-0.8643777
-2.591522,-2.1442432,-1.195499,0.06511592,-1.6306597,-5.2523904,-2.975816,-5.0143824,-1.3420396,-2.6493301,-2.859667,-2.0918052,0.87472457,0.3834357,-0.38378564,-2.2171757,0.17449613,-1.0364779,-2.0430295,-2.5284934,-1.8005979,-2.5118468,-1.9589067,-1.8509803,-2.7320094,-1.1287436,-1.3446332,-3.4855037,-0.1341203,-3.57212,-1.6556159,-2.8726645,-1.3782339,-1.9216895,0.30100933,2.4830217,-1.5069406,0.12534736,-3.2127345,-2.612656,-0.55679804,-1.1408709,-0.39355004,-1.5502474,-2.0925844,-3.3093448,-4.7021885,-1.0713085,-1.2115756,-0.4970656
-2.8250525,-0.41415864,-3.2605875,-0.0670437,-3.00096,-3.954219,-3.9704955,-4.050915,-2.136218,-0.5528402,-2.3403857,-3.3690329,-1.3076633,0.8091814,-0.7089578,-2.5564413,-1.0073336,-3.0583863,-2.7376242,-1.7363132,-1.4602473,-3.1850471,-1.4546819,-1.8240732,-3.4148421,-2.8509536,-0.38261873,-1.8037722,-1.1362134,-3.017833,-0.9453539,-2.0089936,-3.7587774,-2.9728613,-0.9751406,0.59134793,-2.3113453,-2.2755125,-4.453347,-3.1924002,-0.26991647,-2.610776,-0.87405074,-1.1194867,-2.8053637,-3.5726175,-4.7479463,0.87336713,-2.309082,-0.20364115
